cores,elapsed_seconds,flops,max_abs_err,memory_bytes,repeats,size,strategy,threads,valid
1,0.0160435,128000000,4.320099833421409e-12,3840000,3,400,openmp,1,True
1,0.00958569,128000000,4.320099833421409e-12,3840000,3,400,openmp,2,True
1,0.00957535,128000000,4.320099833421409e-12,3840000,3,400,openmp,4,True
1,0.00969139,128000000,4.320099833421409e-12,3840000,3,400,openmp,8,True
1,0.00970808,128000000,4.320099833421409e-12,3840000,3,400,openmp,12,True
2,0.00949803,128000000,4.320099833421409e-12,3840000,3,400,openmp,1,True
2,0.00909614,128000000,4.320099833421409e-12,3840000,3,400,openmp,2,True
2,0.00928035,128000000,4.320099833421409e-12,3840000,3,400,openmp,4,True
2,0.00940206,128000000,4.320099833421409e-12,3840000,3,400,openmp,8,True
2,0.009522,128000000,4.320099833421409e-12,3840000,3,400,openmp,12,True
4,0.0095567,128000000,4.320099833421409e-12,3840000,3,400,openmp,1,True
4,0.00503585,128000000,4.320099833421409e-12,3840000,3,400,openmp,2,True
4,0.00472187,128000000,4.320099833421409e-12,3840000,3,400,openmp,4,True
4,0.00497232,128000000,4.320099833421409e-12,3840000,3,400,openmp,8,True
4,0.00710205,128000000,4.320099833421409e-12,3840000,3,400,openmp,12,True
6,0.00948462,128000000,4.320099833421409e-12,3840000,3,400,openmp,1,True
6,0.00515108,128000000,4.320099833421409e-12,3840000,3,400,openmp,2,True
6,0.00468587,128000000,4.320099833421409e-12,3840000,3,400,openmp,4,True
6,0.00361473,128000000,4.320099833421409e-12,3840000,3,400,openmp,8,True
6,0.00447067,128000000,4.320099833421409e-12,3840000,3,400,openmp,12,True
1,0.0320791,432000000,6.821210263296962e-12,8640000,3,600,openmp,1,True
1,0.0313532,432000000,6.821210263296962e-12,8640000,3,600,openmp,2,True
1,0.0316143,432000000,6.821210263296962e-12,8640000,3,600,openmp,4,True
1,0.031626,432000000,6.821210263296962e-12,8640000,3,600,openmp,8,True
1,0.0314012,432000000,6.821210263296962e-12,8640000,3,600,openmp,12,True
2,0.0313023,432000000,6.821210263296962e-12,8640000,3,600,openmp,1,True
2,0.0312294,432000000,6.821210263296962e-12,8640000,3,600,openmp,2,True
2,0.0306216,432000000,6.821210263296962e-12,8640000,3,600,openmp,4,True
2,0.0311583,432000000,6.821210263296962e-12,8640000,3,600,openmp,8,True
2,0.0312334,432000000,6.821210263296962e-12,8640000,3,600,openmp,12,True
4,0.0311736,432000000,6.821210263296962e-12,8640000,3,600,openmp,1,True
4,0.0160635,432000000,6.821210263296962e-12,8640000,3,600,openmp,2,True
4,0.0157644,432000000,6.821210263296962e-12,8640000,3,600,openmp,4,True
4,0.0173218,432000000,6.821210263296962e-12,8640000,3,600,openmp,8,True
4,0.0172629,432000000,6.821210263296962e-12,8640000,3,600,openmp,12,True
6,0.0308766,432000000,6.821210263296962e-12,8640000,3,600,openmp,1,True
6,0.0158455,432000000,6.821210263296962e-12,8640000,3,600,openmp,2,True
6,0.0156236,432000000,6.821210263296962e-12,8640000,3,600,openmp,4,True
6,0.0137477,432000000,6.821210263296962e-12,8640000,3,600,openmp,8,True
6,0.0115564,432000000,6.821210263296962e-12,8640000,3,600,openmp,12,True
1,0.0732803,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,1,True
1,0.0733786,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,2,True
1,0.0735005,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,4,True
1,0.0734818,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,8,True
1,0.0739177,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,12,True
2,0.0732686,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,1,True
2,0.0731893,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,2,True
2,0.0748494,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,4,True
2,0.0735986,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,8,True
2,0.0736005,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,12,True
4,0.0734027,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,1,True
4,0.0373026,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,2,True
4,0.0375936,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,4,True
4,0.0375752,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,8,True
4,0.0377971,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,12,True
6,0.0771201,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,1,True
6,0.0374829,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,2,True
6,0.0309811,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,4,True
6,0.0284442,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,8,True
6,0.0282171,1024000000,1.0913936421275139e-11,15360000,3,800,openmp,12,True
1,0.141885,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,1,True
1,0.142147,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,2,True
1,0.141132,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,4,True
1,0.14112,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,8,True
1,0.14193,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,12,True
2,0.142202,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,1,True
2,0.143908,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,2,True
2,0.143867,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,4,True
2,0.144166,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,8,True
2,0.144093,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,12,True
4,0.141136,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,1,True
4,0.0726953,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,2,True
4,0.0734125,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,4,True
4,0.0738269,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,8,True
4,0.0751827,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,12,True
6,0.140902,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,1,True
6,0.0732038,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,2,True
6,0.0582099,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,4,True
6,0.054789,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,8,True
6,0.0580793,2000000000,1.2278178473934531e-11,24000000,3,1000,openmp,12,True
1,0.247314,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,1,True
1,0.248672,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,2,True
1,0.248935,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,4,True
1,0.246781,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,8,True
1,0.248803,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,12,True
2,0.248702,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,1,True
2,0.261679,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,2,True
2,0.261159,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,4,True
2,0.261646,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,8,True
2,0.262271,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,12,True
4,0.263209,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,1,True
4,0.125154,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,2,True
4,0.133909,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,4,True
4,0.133495,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,8,True
4,0.134155,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,12,True
6,0.244955,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,1,True
6,0.126194,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,2,True
6,0.101562,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,4,True
6,0.0939797,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,8,True
6,0.0975126,3456000000,1.6370904631912708e-11,34560000,3,1200,openmp,12,True
1,0.553996,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,1,True
1,0.545285,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,2,True
1,0.547761,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,4,True
1,0.543916,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,8,True
1,0.538094,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,12,True
2,0.567151,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,1,True
2,0.471051,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,2,True
2,0.461888,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,4,True
2,0.462361,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,8,True
2,0.449789,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,12,True
4,0.558133,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,1,True
4,0.283914,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,2,True
4,0.240633,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,4,True
4,0.240712,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,8,True
4,0.234174,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,12,True
6,0.541335,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,1,True
6,0.281716,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,2,True
6,0.197221,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,4,True
6,0.169965,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,8,True
6,0.167565,5488000000,2.000888343900442e-11,47040000,3,1400,openmp,12,True
1,1.21523,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,1,True
1,1.21567,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,2,True
1,1.2147,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,4,True
1,1.21568,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,8,True
1,1.21087,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,12,True
2,1.21036,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,1,True
2,0.786863,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,2,True
2,0.784121,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,4,True
2,0.792271,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,8,True
2,0.793132,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,12,True
4,1.20841,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,1,True
4,0.747137,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,2,True
4,0.440489,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,4,True
4,0.436393,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,8,True
4,0.435369,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,12,True
6,1.20426,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,1,True
6,0.744319,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,2,True
6,0.380477,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,4,True
6,0.322768,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,8,True
6,0.305074,8192000000,2.8194335754960775e-11,61440000,3,1600,openmp,12,True
1,1.76029,11664000000,2.3646862246096134e-11,77760000,3,1800,openmp,1,True
1,1.76371,11664000000,2.3646862246096134e-11,77760000,3,1800,openmp,2,True
1,1.76361,11664000000,2.3646862246096134e-11,77760000,3,1800,openmp,4,True
1,1.76274,11664000000,2.3646862246096134e-11,77760000,3,1800,openmp,8,True
1,1.76167,11664000000,2.3646862246096134e-11,77760000,3,1800,openmp,12,True
2,1.76105,11664000000,2.3646862246096134e-11,77760000,3,1800,openmp,1,True
