block_x,block_y,elapsed_seconds,flops,gpu_name,grid_x,grid_y,max_abs_err,memory_bytes,repeats,size,strategy,threads_per_block,valid
4,4,0.00254711,128000000,NVIDIA GeForce RTX 4060 Laptop GPU,100,100,4.092726157978177e-12,3840000,3,400,cuda,16,True
8,8,0.00198516,128000000,NVIDIA GeForce RTX 4060 Laptop GPU,50,50,4.092726157978177e-12,3840000,3,400,cuda,64,True
16,16,0.00195403,128000000,NVIDIA GeForce RTX 4060 Laptop GPU,25,25,4.092726157978177e-12,3840000,3,400,cuda,256,True
32,32,0.00200256,128000000,NVIDIA GeForce RTX 4060 Laptop GPU,13,13,4.092726157978177e-12,3840000,3,400,cuda,1024,True
4,4,0.00695686,432000000,NVIDIA GeForce RTX 4060 Laptop GPU,150,150,7.275957614183426e-12,8640000,3,600,cuda,16,True
8,8,0.00461401,432000000,NVIDIA GeForce RTX 4060 Laptop GPU,75,75,7.275957614183426e-12,8640000,3,600,cuda,64,True
16,16,0.00401622,432000000,NVIDIA GeForce RTX 4060 Laptop GPU,38,38,7.275957614183426e-12,8640000,3,600,cuda,256,True
32,32,0.00503519,432000000,NVIDIA GeForce RTX 4060 Laptop GPU,19,19,7.275957614183426e-12,8640000,3,600,cuda,1024,True
4,4,0.0135979,1024000000,NVIDIA GeForce RTX 4060 Laptop GPU,200,200,1.000444171950221e-11,15360000,3,800,cuda,16,True
8,8,0.00844539,1024000000,NVIDIA GeForce RTX 4060 Laptop GPU,100,100,1.000444171950221e-11,15360000,3,800,cuda,64,True
16,16,0.00792201,1024000000,NVIDIA GeForce RTX 4060 Laptop GPU,50,50,1.000444171950221e-11,15360000,3,800,cuda,256,True
32,32,0.00852293,1024000000,NVIDIA GeForce RTX 4060 Laptop GPU,25,25,1.000444171950221e-11,15360000,3,800,cuda,1024,True
4,4,0.0242663,2000000000,NVIDIA GeForce RTX 4060 Laptop GPU,250,250,1.1823431123048067e-11,24000000,3,1000,cuda,16,True
8,8,0.0142396,2000000000,NVIDIA GeForce RTX 4060 Laptop GPU,125,125,1.1823431123048067e-11,24000000,3,1000,cuda,64,True
16,16,0.0137271,2000000000,NVIDIA GeForce RTX 4060 Laptop GPU,63,63,1.1823431123048067e-11,24000000,3,1000,cuda,256,True
32,32,0.0322117,2000000000,NVIDIA GeForce RTX 4060 Laptop GPU,32,32,1.1823431123048067e-11,24000000,3,1000,cuda,1024,True
4,4,0.0965061,3456000000,NVIDIA GeForce RTX 4060 Laptop GPU,300,300,1.6370904631912708e-11,34560000,3,1200,cuda,16,True
8,8,0.0225278,3456000000,NVIDIA GeForce RTX 4060 Laptop GPU,150,150,1.6370904631912708e-11,34560000,3,1200,cuda,64,True
16,16,0.0409766,3456000000,NVIDIA GeForce RTX 4060 Laptop GPU,75,75,1.6370904631912708e-11,34560000,3,1200,cuda,256,True
32,32,0.0417877,3456000000,NVIDIA GeForce RTX 4060 Laptop GPU,38,38,1.6370904631912708e-11,34560000,3,1200,cuda,1024,True
4,4,0.102952,5488000000,NVIDIA GeForce RTX 4060 Laptop GPU,350,350,2.000888343900442e-11,47040000,3,1400,cuda,16,True
8,8,0.0306326,5488000000,NVIDIA GeForce RTX 4060 Laptop GPU,175,175,2.000888343900442e-11,47040000,3,1400,cuda,64,True
16,16,0.0652614,5488000000,NVIDIA GeForce RTX 4060 Laptop GPU,88,88,2.000888343900442e-11,47040000,3,1400,cuda,256,True
32,32,0.0340406,5488000000,NVIDIA GeForce RTX 4060 Laptop GPU,44,44,2.000888343900442e-11,47040000,3,1400,cuda,1024,True
4,4,0.121776,8192000000,NVIDIA GeForce RTX 4060 Laptop GPU,400,400,2.9103830456733704e-11,61440000,3,1600,cuda,16,True
8,8,0.0799779,8192000000,NVIDIA GeForce RTX 4060 Laptop GPU,200,200,2.9103830456733704e-11,61440000,3,1600,cuda,64,True
16,16,0.0819771,8192000000,NVIDIA GeForce RTX 4060 Laptop GPU,100,100,2.9103830456733704e-11,61440000,3,1600,cuda,256,True
32,32,0.0868051,8192000000,NVIDIA GeForce RTX 4060 Laptop GPU,50,50,2.9103830456733704e-11,61440000,3,1600,cuda,1024,True
4,4,0.119232,11664000000,NVIDIA GeForce RTX 4060 Laptop GPU,450,450,2.546585164964199e-11,77760000,3,1800,cuda,16,True
8,8,0.0808831,11664000000,NVIDIA GeForce RTX 4060 Laptop GPU,225,225,2.546585164964199e-11,77760000,3,1800,cuda,64,True
16,16,0.0686157,11664000000,NVIDIA GeForce RTX 4060 Laptop GPU,113,113,2.546585164964199e-11,77760000,3,1800,cuda,256,True
32,32,0.104029,11664000000,NVIDIA GeForce RTX 4060 Laptop GPU,57,57,2.546585164964199e-11,77760000,3,1800,cuda,1024,True
4,4,0.158862,16000000000,NVIDIA GeForce RTX 4060 Laptop GPU,500,500,3.3651303965598345e-11,96000000,3,2000,cuda,16,True
8,8,0.0906925,16000000000,NVIDIA GeForce RTX 4060 Laptop GPU,250,250,3.3651303965598345e-11,96000000,3,2000,cuda,64,True
16,16,0.108777,16000000000,NVIDIA GeForce RTX 4060 Laptop GPU,125,125,3.3651303965598345e-11,96000000,3,2000,cuda,256,True
32,32,0.0909647,16000000000,NVIDIA GeForce RTX 4060 Laptop GPU,63,63,3.3651303965598345e-11,96000000,3,2000,cuda,1024,True
4,4,0.204085,21296000000,NVIDIA GeForce RTX 4060 Laptop GPU,550,550,3.728928277269006e-11,116160000,3,2200,cuda,16,True
8,8,0.119392,21296000000,NVIDIA GeForce RTX 4060 Laptop GPU,275,275,3.728928277269006e-11,116160000,3,2200,cuda,64,True
16,16,0.117562,21296000000,NVIDIA GeForce RTX 4060 Laptop GPU,138,138,3.728928277269006e-11,116160000,3,2200,cuda,256,True
32,32,0.146751,21296000000,NVIDIA GeForce RTX 4060 Laptop GPU,69,69,3.728928277269006e-11,116160000,3,2200,cuda,1024,True
4,4,0.262043,27648000000,NVIDIA GeForce RTX 4060 Laptop GPU,600,600,3.54702933691442e-11,138240000,3,2400,cuda,16,True
8,8,0.157399,27648000000,NVIDIA GeForce RTX 4060 Laptop GPU,300,300,3.54702933691442e-11,138240000,3,2400,cuda,64,True
16,16,0.143584,27648000000,NVIDIA GeForce RTX 4060 Laptop GPU,150,150,3.54702933691442e-11,138240000,3,2400,cuda,256,True
32,32,0.154821,27648000000,NVIDIA GeForce RTX 4060 Laptop GPU,75,75,3.54702933691442e-11,138240000,3,2400,cuda,1024,True
4,4,0.344253,35152000000,NVIDIA GeForce RTX 4060 Laptop GPU,650,650,4.001776687800884e-11,162240000,3,2600,cuda,16,True
8,8,0.177062,35152000000,NVIDIA GeForce RTX 4060 Laptop GPU,325,325,4.001776687800884e-11,162240000,3,2600,cuda,64,True
16,16,0.188418,35152000000,NVIDIA GeForce RTX 4060 Laptop GPU,163,163,4.001776687800884e-11,162240000,3,2600,cuda,256,True
32,32,0.176863,35152000000,NVIDIA GeForce RTX 4060 Laptop GPU,82,82,4.001776687800884e-11,162240000,3,2600,cuda,1024,True
4,4,0.446954,43904000000,NVIDIA GeForce RTX 4060 Laptop GPU,700,700,4.001776687800884e-11,188160000,3,2800,cuda,16,True
8,8,0.212762,43904000000,NVIDIA GeForce RTX 4060 Laptop GPU,350,350,4.001776687800884e-11,188160000,3,2800,cuda,64,True
16,16,0.214532,43904000000,NVIDIA GeForce RTX 4060 Laptop GPU,175,175,4.001776687800884e-11,188160000,3,2800,cuda,256,True
32,32,0.215159,43904000000,NVIDIA GeForce RTX 4060 Laptop GPU,88,88,4.001776687800884e-11,188160000,3,2800,cuda,1024,True
4,4,0.575582,54000000000,NVIDIA GeForce RTX 4060 Laptop GPU,750,750,5.275069270282984e-11,216000000,3,3000,cuda,16,True
8,8,0.259454,54000000000,NVIDIA GeForce RTX 4060 Laptop GPU,375,375,5.275069270282984e-11,216000000,3,3000,cuda,64,True
16,16,0.257398,54000000000,NVIDIA GeForce RTX 4060 Laptop GPU,188,188,5.275069270282984e-11,216000000,3,3000,cuda,256,True
32,32,0.258657,54000000000,NVIDIA GeForce RTX 4060 Laptop GPU,94,94,5.275069270282984e-11,216000000,3,3000,cuda,1024,True
